name,left_d x,left_d y,right_u x,right_u y
IMG0.jpg,551,0,611,48
IMG0.jpg,168,483,276,532
IMG0.jpg,224,445,246,466
IMG0.jpg,498,405,542,452
IMG0.jpg,71,389,149,496
IMG0.jpg,51,275,295,441
IMG0.jpg,267,263,311,310
IMG0.jpg,313,227,546,391
IMG0.jpg,501,223,541,260
IMG0.jpg,608,201,654,438
IMG0.jpg,324,181,355,212
IMG0.jpg,388,153,425,187
IMG0.jpg,282,83,323,121
IMG0.jpg,473,79,505,211
IMG0.jpg,53,72,286,230
IMG0.jpg,611,65,717,188
IMG0.jpg,358,13,390,141
IMG1.jpg,205,471,224,486
IMG1.jpg,408,438,441,462
IMG1.jpg,66,438,97,458
IMG1.jpg,772,426,798,473
IMG1.jpg,326,425,385,488
IMG1.jpg,341,445,379,485
IMG1.jpg,185,417,231,437
IMG1.jpg,103,407,130,458
IMG1.jpg,332,394,364,414
IMG1.jpg,146,394,195,430
IMG1.jpg,60,363,108,413
IMG1.jpg,748,360,778,399
IMG1.jpg,763,356,801,401
IMG1.jpg,463,354,656,477
IMG1.jpg,546,410,576,440
IMG1.jpg,75,317,96,338
IMG1.jpg,215,303,289,332
IMG1.jpg,264,289,288,300
IMG1.jpg,283,285,304,301
IMG1.jpg,327,261,456,317
IMG1.jpg,504,235,597,296
IMG1.jpg,539,254,579,293
IMG1.jpg,372,218,459,252
IMG1.jpg,139,220,163,263
IMG1.jpg,85,221,106,268
IMG1.jpg,622,219,700,291
IMG1.jpg,627,248,636,286
IMG1.jpg,655,244,689,272
IMG1.jpg,767,176,803,275
IMG1.jpg,717,162,770,277
IMG1.jpg,736,207,759,235
IMG1.jpg,584,165,678,188
IMG1.jpg,532,158,573,179
IMG1.jpg,93,154,166,185
IMG1.jpg,501,147,526,188
IMG1.jpg,732,143,760,163
IMG1.jpg,436,103,459,130
IMG1.jpg,756,102,807,180
IMG1.jpg,91,81,165,118
IMG1.jpg,383,78,405,88
IMG1.jpg,562,65,760,178
IMG1.jpg,191,71,224,100
IMG1.jpg,279,66,336,157
IMG1.jpg,301,79,322,128
IMG2.jpg,99,554,121,576
IMG2.jpg,438,547,466,575
IMG2.jpg,279,546,313,580
IMG2.jpg,810,535,843,568
IMG2.jpg,12,534,33,556
IMG2.jpg,416,521,452,557
IMG2.jpg,239,505,263,529
IMG2.jpg,786,499,810,523
IMG2.jpg,264,499,291,526
IMG2.jpg,542,490,627,585
IMG2.jpg,576,462,660,557
IMG2.jpg,237,463,268,494
IMG2.jpg,798,455,824,481
IMG2.jpg,609,438,693,532
IMG2.jpg,320,431,354,465
IMG2.jpg,297,413,330,443
IMG2.jpg,640,413,721,502
IMG2.jpg,384,407,419,442
IMG2.jpg,797,400,821,424
IMG2.jpg,204,391,243,432
IMG2.jpg,273,361,298,386
IMG2.jpg,108,358,139,401
IMG2.jpg,329,349,353,373
IMG2.jpg,27,339,56,368
IMG2.jpg,151,332,189,368
IMG2.jpg,466,338,487,360
IMG2.jpg,381,331,410,360
IMG2.jpg,308,324,335,350
IMG2.jpg,131,323,154,346
IMG2.jpg,232,318,262,348
IMG2.jpg,288,306,312,330
IMG2.jpg,51,301,81,332
IMG2.jpg,259,284,294,319
IMG2.jpg,427,275,467,315
IMG2.jpg,401,274,425,298
IMG2.jpg,496,256,525,285
IMG2.jpg,434,247,456,269
IMG2.jpg,62,249,84,271
IMG2.jpg,225,239,257,272
IMG2.jpg,137,243,165,271
IMG2.jpg,359,232,384,255
IMG2.jpg,188,235,222,269
IMG2.jpg,120,233,142,255
IMG2.jpg,317,228,350,261
IMG2.jpg,571,223,599,251
IMG2.jpg,341,216,369,243
IMG2.jpg,370,214,407,250
IMG2.jpg,683,205,709,230
IMG2.jpg,545,201,579,235
IMG2.jpg,261,203,293,235
IMG2.jpg,18,198,46,227
IMG2.jpg,65,181,107,223
IMG2.jpg,627,174,658,206
IMG2.jpg,334,171,376,214
IMG2.jpg,517,168,552,202
IMG2.jpg,435,160,472,197
IMG2.jpg,651,157,681,186
IMG2.jpg,401,153,422,174
IMG2.jpg,572,151,593,171
IMG2.jpg,607,150,638,181
IMG2.jpg,498,148,529,182
IMG2.jpg,92,130,123,161
IMG2.jpg,215,119,251,155
IMG2.jpg,175,120,205,150
IMG2.jpg,268,120,295,147
IMG2.jpg,648,117,674,143
IMG2.jpg,236,103,260,127
IMG2.jpg,528,88,576,134
IMG2.jpg,433,78,463,108
IMG2.jpg,352,83,372,108
IMG2.jpg,600,79,626,105
IMG2.jpg,401,78,423,101
IMG2.jpg,515,71,556,112
IMG2.jpg,690,64,717,90
IMG2.jpg,512,56,533,77
IMG2.jpg,750,54,774,78
IMG2.jpg,656,56,684,84
IMG2.jpg,639,34,667,62
IMG2.jpg,726,30,756,60
IMG3.jpg,341,570,357,588
IMG3.jpg,207,567,231,584
IMG3.jpg,246,556,273,584
IMG3.jpg,180,557,204,581
IMG3.jpg,289,549,319,584
IMG3.jpg,191,539,218,561
IMG3.jpg,339,520,365,546
IMG3.jpg,307,520,325,538
IMG3.jpg,403,515,429,539
IMG3.jpg,270,513,290,533
IMG3.jpg,197,493,212,512
IMG3.jpg,210,482,250,530
IMG3.jpg,407,477,433,512
IMG3.jpg,228,456,257,482
IMG3.jpg,273,454,290,476
IMG3.jpg,232,438,381,488
IMG3.jpg,198,434,233,495
IMG3.jpg,574,426,608,459
IMG3.jpg,636,427,659,459
IMG3.jpg,417,424,436,446
IMG3.jpg,518,419,553,451
IMG3.jpg,473,419,499,449
IMG3.jpg,344,412,365,436
IMG3.jpg,249,410,270,427
IMG3.jpg,144,408,184,485
IMG3.jpg,474,395,499,413
IMG3.jpg,258,372,275,390
IMG3.jpg,346,368,370,395
IMG3.jpg,354,333,372,355
IMG3.jpg,262,331,281,351
IMG3.jpg,353,291,382,322
IMG3.jpg,268,293,284,312
IMG3.jpg,422,280,441,304
IMG3.jpg,361,255,380,277
IMG3.jpg,266,254,292,272
IMG3.jpg,426,235,444,258
IMG3.jpg,363,215,386,238
IMG3.jpg,275,212,297,234
IMG3.jpg,429,198,447,220
IMG3.jpg,354,169,382,198
IMG3.jpg,291,163,316,193
IMG3.jpg,415,152,444,181
IMG3.jpg,241,148,261,168
IMG3.jpg,197,141,217,162
IMG3.jpg,321,136,349,163
IMG3.jpg,77,137,102,164
IMG3.jpg,395,119,424,149
IMG3.jpg,366,95,397,126
IMG3.jpg,333,77,357,101
IMG3.jpg,239,51,288,118
